Unnamed: 0,Symbol,Company Name,Sector,Country,yf_ticker
310,M&MFIN,Mahindra & Mahindra Financial Services Ltd.,Financial Services,IND,M&MFIN.NS
311,M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components,IND,M&M.NS
312,MANAPPURAM,Manappuram Finance Ltd.,Financial Services,IND,MANAPPURAM.NS
313,MRPL,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,IND,MRPL.NS
314,MANKIND,Mankind Pharma Ltd.,Healthcare,IND,MANKIND.NS
315,MARICO,Marico Ltd.,Fast Moving Consumer Goods,IND,MARICO.NS
316,MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components,IND,MARUTI.NS
317,MFSL,Max Financial Services Ltd.,Financial Services,IND,MFSL.NS
318,MAXHEALTH,Max Healthcare Institute Ltd.,Healthcare,IND,MAXHEALTH.NS
319,MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,IND,MAZDOCK.NS
320,MEESHO,Meesho Ltd.,Consumer Services,IND,MEESHO.NS
321,MINDACORP,Minda Corporation Ltd.,Automobile and Auto Components,IND,MINDACORP.NS
322,MSUMI,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,IND,MSUMI.NS
323,MOTILALOFS,Motilal Oswal Financial Services Ltd.,Financial Services,IND,MOTILALOFS.NS
324,MPHASIS,MphasiS Ltd.,Information Technology,IND,MPHASIS.NS
325,MCX,Multi Commodity Exchange of India Ltd.,Financial Services,IND,MCX.NS
326,MUTHOOTFIN,Muthoot Finance Ltd.,Financial Services,IND,MUTHOOTFIN.NS
327,NATCOPHARM,NATCO Pharma Ltd.,Healthcare,IND,NATCOPHARM.NS
328,NBCC,NBCC (India) Ltd.,Construction,IND,NBCC.NS
329,NCC,NCC Ltd.,Construction,IND,NCC.NS
330,NHPC,NHPC Ltd.,Power,IND,NHPC.NS
331,NLCINDIA,NLC India Ltd.,Power,IND,NLCINDIA.NS
332,NMDC,NMDC Ltd.,Metals & Mining,IND,NMDC.NS
333,NSLNISP,NMDC Steel Ltd.,Metals & Mining,IND,NSLNISP.NS
334,NTPCGREEN,NTPC Green Energy Ltd.,Power,IND,NTPCGREEN.NS
335,NTPC,NTPC Ltd.,Power,IND,NTPC.NS
336,NH,Narayana Hrudayalaya Ltd.,Healthcare,IND,NH.NS
337,NATIONALUM,National Aluminium Co. Ltd.,Metals & Mining,IND,NATIONALUM.NS
338,NAVA,Nava Ltd.,Power,IND,NAVA.NS
339,NAVINFLUOR,Navin Fluorine International Ltd.,Chemicals,IND,NAVINFLUOR.NS
340,NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods,IND,NESTLEIND.NS
341,NETWEB,Netweb Technologies India Ltd.,Information Technology,IND,NETWEB.NS
342,NEULANDLAB,Neuland Laboratories Ltd.,Healthcare,IND,NEULANDLAB.NS
343,NEWGEN,Newgen Software Technologies Ltd.,Information Technology,IND,NEWGEN.NS
344,NAM-INDIA,Nippon Life India Asset Management Ltd.,Financial Services,IND,NAM-INDIA.NS
345,NIVABUPA,Niva Bupa Health Insurance Company Ltd.,Financial Services,IND,NIVABUPA.NS
346,NUVAMA,Nuvama Wealth Management Ltd.,Financial Services,IND,NUVAMA.NS
347,NUVOCO,Nuvoco Vistas Corporation Ltd.,Construction Materials,IND,NUVOCO.NS
348,OBEROIRLTY,Oberoi Realty Ltd.,Realty,IND,OBEROIRLTY.NS
349,ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,IND,ONGC.NS
350,OIL,Oil India Ltd.,Oil Gas & Consumable Fuels,IND,OIL.NS
351,OLAELEC,Ola Electric Mobility Ltd.,Automobile and Auto Components,IND,OLAELEC.NS
352,OLECTRA,Olectra Greentech Ltd.,Automobile and Auto Components,IND,OLECTRA.NS
353,PAYTM,One 97 Communications Ltd.,Financial Services,IND,PAYTM.NS
354,ONESOURCE,Onesource Specialty Pharma Ltd.,Healthcare,IND,ONESOURCE.NS
355,OFSS,Oracle Financial Services Software Ltd.,Information Technology,IND,OFSS.NS
356,POLICYBZR,PB Fintech Ltd.,Financial Services,IND,POLICYBZR.NS
357,PCBL,PCBL Chemical Ltd.,Chemicals,IND,PCBL.NS
358,PGEL,PG Electroplast Ltd.,Consumer Durables,IND,PGEL.NS
359,PIIND,PI Industries Ltd.,Chemicals,IND,PIIND.NS
360,PNBHOUSING,PNB Housing Finance Ltd.,Financial Services,IND,PNBHOUSING.NS
361,PTCIL,PTC Industries Ltd.,Capital Goods,IND,PTCIL.NS
362,PVRINOX,PVR INOX Ltd.,Media Entertainment & Publication,IND,PVRINOX.NS
363,PAGEIND,Page Industries Ltd.,Textiles,IND,PAGEIND.NS
364,PARADEEP,Paradeep Phosphates Ltd.,Chemicals,IND,PARADEEP.NS
365,PATANJALI,Patanjali Foods Ltd.,Fast Moving Consumer Goods,IND,PATANJALI.NS
366,PERSISTENT,Persistent Systems Ltd.,Information Technology,IND,PERSISTENT.NS
367,PETRONET,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,IND,PETRONET.NS
368,PFIZER,Pfizer Ltd.,Healthcare,IND,PFIZER.NS
369,PHOENIXLTD,Phoenix Mills Ltd.,Realty,IND,PHOENIXLTD.NS
370,PWL,Physicswallah Ltd.,Consumer Services,IND,PWL.NS
371,PIDILITIND,Pidilite Industries Ltd.,Chemicals,IND,PIDILITIND.NS
372,PINELABS,Pine Labs Ltd.,Financial Services,IND,PINELABS.NS
373,PIRAMALFIN,Piramal Finance Ltd.,Financial Services,IND,PIRAMALFIN.NS
374,PPLPHARMA,Piramal Pharma Ltd.,Healthcare,IND,PPLPHARMA.NS
375,POLYMED,Poly Medicure Ltd.,Healthcare,IND,POLYMED.NS
376,POLYCAB,Polycab India Ltd.,Capital Goods,IND,POLYCAB.NS
377,POONAWALLA,Poonawalla Fincorp Ltd.,Financial Services,IND,POONAWALLA.NS
378,PFC,Power Finance Corporation Ltd.,Financial Services,IND,PFC.NS
379,POWERGRID,Power Grid Corporation of India Ltd.,Power,IND,POWERGRID.NS
380,PREMIERENE,Premier Energies Ltd.,Capital Goods,IND,PREMIERENE.NS
381,PRESTIGE,Prestige Estates Projects Ltd.,Realty,IND,PRESTIGE.NS
